sentence,label
"Bees are winged insects that form a monophyletic clade Anthophila within the superfamily Apoidea of the order Hymenoptera, with over 20,000 known species in seven recognized families.",1
"Some species – including honey bees, bumblebees, and stingless bees – are social insects living in highly hierarchical colonies, while over 90% of bee species – including mason bees, carpenter bees, leafcutter bees, and sweat bees – are solitary.",1
"Members of the most well-known bee genus, Apis (i.e.",1
"honey bees), are known to construct hexagonally celled waxy nests called hives.",1
"Unlike the closely related wasps and ants, who are carnivorous/omnivorous, bees are herbivores that specifically feed on nectar (nectarivory) and pollen (palynivory), the former primarily as a carbohydrate source for metabolic energy, and the latter primarily for protein and other nutrients for their larvae.",1
"They are found on every continent except Antarctica, and in every habitat on the planet that contains insect-pollinated flowering plants.",1
"The most common bees in the Northern Hemisphere are the Halictidae, or sweat bees, but they are small and often mistaken for wasps or flies.",1
Vertebrate predators of bees include primates and birds such as bee-eaters; insect predators include beewolves and dragonflies.,1
"Bees are best known for their ecological roles as pollinators and, in the case of the best-known species, the western honey bee, for producing honey, a regurgitated and dehydrated viscous mixture of partially digested monosaccharides kept as food storage of the bee colony.",1
"Pollination management via bees is important both ecologically and agriculturally, and the decline in wild bee populations has increased the demand and value of domesticated pollination by commercially managed hives of honey bees.",1
"Human beekeeping or apiculture (meliponiculture for stingless bees) has been practiced as a discipline of animal husbandry for millennia, since at least the times of Ancient Egypt and Ancient Greece.",1
"Bees have appeared in mythology and folklore, through all phases of art and literature from ancient times to the present day, although primarily focused in the Northern Hemisphere where beekeeping is far more common.",1
"In Mesoamerica, the Maya have practiced large-scale intensive meliponiculture since pre-Columbian times.",1
"Evolution The immediate ancestors of bees were stinging wasps in the family Ammoplanidae, which were predators of other insects.",1
The switch from insect prey to pollen may have resulted from the consumption of prey insects which were flower visitors and were partially covered with pollen when they were fed to the wasp larvae.,1
"This same evolutionary scenario may have occurred within the vespoid wasps, where the pollen wasps evolved from predatory ancestors.",1
"Based on phylogenetic analysis, bees are thought to have originated during the Early Cretaceous (about 124 million years ago) on the supercontinent of West Gondwana, just prior to its breakup into South America and Africa.",1
"The supercontinent is thought to have been a largely xeric environment at this time; modern bee diversity hotspots are also in xeric and seasonal temperate environments, suggesting strong niche conservatism among bees ever since their origins.",1
"Genomic analysis indicates that despite only appearing much later in the fossil record, all modern bee families had already diverged from one another by the end of the Cretaceous.",1
"The Melittidae, Apidae, and Megachilidae had already evolved on the supercontinent prior to its fragmentation.",1
"Further divergences were facilitated by West Gondwana's breakup around 100 million years ago, leading to a deep Africa-South America split within both the Apidae and Megachilidae, the isolation of the Melittidae in Africa, and the origins of the Colletidae, Andrenidae and Halictidae in South America.",1
The rapid radiation of the South American bee families is thought to have followed the concurrent radiation of flowering plants within the same region.,1
"Later in the Cretaceous (80 million years ago), colletid bees colonized Australia from South America (with an offshoot lineage evolving into the Stenotritidae), and by the end of the Cretaceous, South American bees had also colonized North America.",1
"The North American fossil taxon Cretotrigona belongs to a group that is no longer found in North America, suggesting that many bee lineages went extinct during the Cretaceous–Paleogene extinction event (the ""K-Pg extinction"").",1
"Following the K-Pg extinction, surviving bee lineages continued to spread into the Northern Hemisphere, colonizing Europe from Africa by the Paleocene, and then spreading east to Asia.",1
"This was facilitated by the warming climate around the same time, allowing bees to move to higher latitudes following the spread of tropical and subtropical habitats.",1
By the Eocene (~45 mya) there was already considerable diversity among eusocial bee lineages.,1
"[a] A second extinction event among bees is thought to have occurred due to rapid climatic cooling around the Eocene-Oligocene boundary, leading to the extinction of some bee lineages such as the tribe Melikertini.",1
"During the Paleogene and Neogene periods, bee lineages expanded worldwide.",1
"This came about as continental drift and changing climates created new barriers and habitats, isolating populations and driving the evolution of many new tribes.",1
"Fossils The oldest non-compression bee fossil is Cretotrigona prisca, a corbiculate bee of Late Cretaceous age (~70 mya) found in New Jersey amber.",1
"A fossil from the early Cretaceous (~100 mya), Melittosphex burmensis, was initially considered ""an extinct lineage of pollen-collecting Apoidea sister to the modern bees"", but subsequent research has rejected the claim that Melittosphex is a bee, or even a member of the superfamily Apoidea to which bees belong, instead treating the lineage as incertae sedis within the Aculeata.",1
The Allodapini (within the Apidae) appeared around 53 Mya.,1
The Colletidae appear as fossils only from the late Oligocene (~25 Mya) to early Miocene.,1
The Melittidae are known from Palaeomacropis eocenicus in the Early Eocene.,1
The Megachilidae are known from trace fossils (characteristic leaf cuttings) from the Middle Eocene.,1
"The Andrenidae are known from the Eocene-Oligocene boundary, around 34 Mya, of the Florissant shale.",1
The Halictidae first appear in the Early Eocene with species found in amber.,1
The Stenotritidae are known from fossil brood cells of Pleistocene age.,1
"Coevolution Further information: Coevolution Long-tongued bees and long-tubed flowers coevolved, like this Amegilla species (Apidae) on Acanthus ilicifolius.",1
"The earliest animal-pollinated flowers were shallow, cup-shaped blooms pollinated by insects such as beetles, so the syndrome of insect pollination was well established before bees evolved.",1
"Bees represent a further step in this process, being specialized for pollination through behavioral and physical traits that specifically enhance the task and make them the most efficient pollinating insects.",1
"In a process of coevolution, flowers developed floral rewards such as nectar and longer tubes, and bees developed longer tongues to extract the nectar.",1
Bees also developed structures known as scopal hairs and pollen baskets to collect and carry pollen.,1
The location and type differ among and between groups of bees.,1
Most species have scopal hairs on their hind legs or on the underside of their abdomens.,1
"Some species in the family Apidae have pollen baskets on their hind legs, while very few lack these and instead collect pollen in their crops.",1
"The appearance of these structures drove the adaptive radiation of the angiosperms, and, in turn, bees themselves.",1
"Bees and certain mites have indeed coevolved, with some bee species evolving specialized structures called acarinaria that serve as lodgings for mites, demonstrating a mutualistic relationship.",1
"Mites residing in these acarinaria can benefit their bee hosts by eating fungi that attack pollen and brood, leading to reduced fungal contamination and improved bee survivorship.",1
"Phylogeny External Molecular phylogeny was used by Debevic et al, 2012, to demonstrate that the bees (Anthophila) arose from deep within the Crabronidae sensu lato, which was thus rendered paraphyletic.",1
"In their study, the placement of the monogeneric Heterogynaidae was uncertain.",1
The small family Mellinidae was not included in this analysis.,1
"Further studies by Sann et al., 2018, elevated the subfamilies (plus one tribe and one subtribe) of Crabronidae sensu lato to family status.",1
They also recovered the placement of Heterogyna within Nyssonini and sunk Heterogynaidae.,1
"The newly erected family, Ammoplanidae, formerly a subtribe of Pemphredoninae, was recovered as the most sister family to bees.",1
"Characteristics See also: Characteristics of common wasps and bees Head-on view of a male carpenter bee, showing antennae, three ocelli, compound eyes, and mouthparts The lapping mouthparts of a honey bee, showing labium and maxillae Bees differ from closely related groups such as wasps by having branched or plume-like setae (hairs), combs on the forelimbs for cleaning their antennae, small anatomical differences in limb structure, and the venation of the hind wings.",1
"In females, the seventh dorsal abdominal plate is also divided into two half-plates.",1
Bees have the following characteristics: A pair of large compound eyes which cover much of the surface of the head.,1
Between and above these are three small simple eyes (ocelli) which provide information on light intensity.,1
"The antennae usually have 13 segments in males and 12 in females, and are geniculate, having an elbow joint part way along.",1
"They house large numbers of sense organs that can detect touch (mechanoreceptors), smell and taste; and small, hairlike mechanoreceptors that can detect air movement so as to ""hear"" sounds.",1
The mouthparts are adapted for both chewing and sucking by having both a pair of mandibles and a long proboscis for sucking up nectar.,1
"The thorax has three segments, each with a pair of robust legs, and a pair of membranous wings on the hind two segments.",1
The front legs of corbiculate bees bear combs for cleaning the antennae.,1
"In many species the hind legs bear pollen baskets, flattened sections with incurving hairs to secure the collected pollen.",1
"The wings are synchronized in flight, and the somewhat smaller hind wings connect to the forewings by a row of hooks along their margin which connect to a groove in the forewing.",1
"The abdomen has nine segments, the hindermost three being modified into the sting.",1
"Many bees are brightly colored, displaying contrasting bands of yellow, orange, or red against black.",1
"These colors function as aposematic signals, warning potential predators that the insect may sting or otherwise defend itself, although similar warning patterns are also seen in many harmless insects that mimic bees or wasps, a form of Batesian mimicry.",1
"The largest species of bee is thought to be Wallace's giant bee Megachile pluto, whose females can attain a length of 39 millimeters (1.54 in).",1
The smallest species may be dwarf stingless bees in the tribe Meliponini whose workers are less than 2 millimeters (0.08 in) in length.,1
"Sociality Haplodiploid breeding system Further information: Haplodiploidy Willing to die for their sisters: worker honey bees killed defending their hive against yellowjackets, along with a dead yellowjacket.",1
Such altruistic behaviour may be favoured by the haplodiploid sex determination system of bees.,1
"According to inclusive fitness theory, an organism can increase its evolutionary success not only by increasing its own offspring, but also by helping close relatives reproduce.",1
"In genetic terms, cooperation is favored when the cost to the helper is less than the product of relatedness and benefit.",1
"This condition is more easily met in haplodiploid species such as bees, where the genetic relationships create strong incentives for cooperative behavior.",1
Haplodiploidy alone does not explain the evolution of eusociality.,1
Some eusocial species such as termites are not haplodiploid.,0
"Conversely, many haplodiploid species, including most bees, are not eusocial, and even among eusocial bees, queens often mate with several males, producing half sisters that share only about a quarter of their genes.",1
"However, since single mating appears to be the ancestral condition in all eusocial lineages studied so far, haplodiploidy may still have played an important role in the early evolution of eusocial behaviour in bees.",1
Eusociality A Western honey bee swarm Further information: Eusociality Bees may be solitary or may live in various types of community.,1
Eusociality appears to have arisen independently at least three times in halictid bees.,1
"The most advanced of these form eusocial colonies; these are characterized by cooperative brood care and a division of labour into reproductive and non-reproductive adults, with overlapping generations.",1
"This division of labour creates specialized groups within eusocial societies, called castes.",1
"In some species, groups of cohabiting females are sisters.",1
"If these sisters share a division of labour, the group is described as semisocial.",1
"When the group instead includes a mother (the queen) and her daughters (the workers), it is considered eusocial.",1
"If the castes differ only in behavior and size, as in many paper wasps, the system is primitively eusocial.",1
"When the castes show clear morphological differences, the system is described as highly eusocial.",1
"True honey bees (genus Apis, with eight species) are highly eusocial, and are among the best known insects.",1
"Their colonies are established by swarms, consisting of a queen and several thousand workers.",1
"There are 29 subspecies of one of these species, Apis mellifera, native to Europe, the Middle East, and Africa.",1
Africanized bees are a hybrid strain of A. mellifera that escaped from experiments involving crossing European and African subspecies; they are extremely defensive.,1
Stingless bees are also highly eusocial.,0
"They practice mass provisioning, with complex nest architecture and perennial colonies also established via swarming.",1
"A bumblebee carrying pollen in its pollen baskets (corbiculae) Many bumblebees are eusocial, similar to the eusocial Vespidae such as hornets in that the queen initiates a nest on her own rather than by swarming.",1
"Bumblebee colonies typically have from 50 to 200 bees at peak population, which occurs in mid to late summer.",1
"Nest architecture is simple, limited by the size of the pre-existing nest cavity, and colonies rarely last more than a year.",1
"In 2011, the International Union for Conservation of Nature set up the Bumblebee Specialist Group to review the threat status of all bumblebee species worldwide using the IUCN Red List criteria.",1
"There are many more species of primitively eusocial than highly eusocial bees, but they have been studied less often.",0
"Most are in the family Halictidae, or ""sweat bees"".",1
"Colonies are typically small, with a dozen or fewer workers, on average.",1
"Queens and workers differ only in size, if at all.",1
"Most species have a single season colony cycle, even in the tropics, and only mated females hibernate.",1
"A few species, such as Halictus hesperus, have long active seasons and attain colony sizes in the hundreds.",1
"Some species are eusocial in parts of their range and solitary in others, or have a mix of eusocial and solitary nests in the same population.",1
The orchid bees (Apidae) include some primitively eusocial species with similar biology.,1
"Some allodapine bees (Apidae) form primitively eusocial colonies, with progressive provisioning: a larva's food is supplied gradually as it develops, as is the case in honey bees and some bumblebees.",1
"Solitary and communal bees Most other bees, including familiar insects such as carpenter bees, leafcutter bees and mason bees are solitary in the sense that every female is fertile, and typically inhabits a nest she constructs herself.",1
"There is no division of labor, so these nests lack queens and worker bees.",1
Solitary bees typically produce neither honey nor beeswax.,1
"Bees collect pollen to feed their young, and have the necessary adaptations to do this.",1
"However, certain wasp species such as pollen wasps have similar behaviours, and a few species of bee scavenge from carcasses to feed their offspring.",1
Solitary bees are important pollinators; they gather pollen to provision their nests with food for their brood.,1
Often it is mixed with nectar to form a paste-like consistency.,1
Some solitary bees have advanced types of pollen-carrying structures on their bodies.,1
Very few species of solitary bee are being cultured for commercial pollination.,1
"Most of these species belong to a distinct set of genera which are commonly known by their nesting behavior or preferences, namely the carpenter bees, sweat bees, mason bees, plasterer bees, squash bees, dwarf carpenter bees, leafcutter bees, alkali bees and digger bees.",1
"Most solitary bees are fossorial, digging nests in the ground in a variety of soil textures and conditions, while others create nests in hollow reeds or twigs, or holes in wood.",1
"The female typically creates a compartment (a ""cell"") with an egg and some provisions for the resulting larva, then seals it off.",1
A nest may consist of numerous cells.,0
"When the nest is in wood, usually the last (those closer to the entrance) contain eggs that will become males.",1
"The adult does not provide care for the brood once the egg is laid, and usually dies after making one or more nests.",1
The males typically emerge first and are ready for mating when the females emerge.,1
"Solitary bees are very unlikely to sting (only in self-defense, if ever), and some (esp.",1
in the family Andrenidae) are stingless.,0
"While solitary, females each make individual nests.",0
"Some species, such as the European mason bee Hoplitis anthocopoides, and the Dawson's Burrowing bee, Amegilla dawsoni, are gregarious, preferring to make nests near others of the same species, and giving the appearance of being social.",1
"Large groups of solitary bee nests are called aggregations, to distinguish them from colonies.",1
"In some species, multiple females share a common nest, but each makes and provisions her own cells independently.",1
"This type of group is called ""communal"" and is not uncommon.",1
The primary advantage appears to be that a nest entrance is easier to defend from predators and parasites when multiple females use that same entrance regularly.,1
"A leafcutting bee, Megachile rotundata, cutting circles from acacia leaves A leafcutting bee, Megachile rotundata, cutting circles from acacia leaves A solitary bee, Anthidium florentinum (family Megachilidae), visiting Lantana A solitary bee, Anthidium florentinum (family Megachilidae), visiting Lantana The mason bee Osmia cornifrons nests in a hole in dead wood.",1
"Bee ""hotels"" are often sold for this purpose.",0
The mason bee Osmia cornifrons nests in a hole in dead wood.,1
"Bee ""hotels"" are often sold for this purpose.",0
"Biology Life cycle Further information: Honey bee life cycle The life cycle of both solitary and social bees involves the laying of an egg, the development through several moults of a legless larva, a pupa in which the insect undergoes complete metamorphosis, and the emergence of a winged adult.",1
Most solitary bees and bumble bees in temperate climates overwinter as adults or pupae and emerge in spring when increasing numbers of flowering plants come into bloom.,1
The males usually emerge first and search for females with which to mate.,1
"Like the other members of Hymenoptera, bees are haplodiploid; the sex of a bee is determined by whether or not the egg is fertilized.",1
"After mating, a female stores the sperm, and determines which sex is required at the time each individual egg is laid, fertilized eggs producing female offspring and unfertilized eggs, males.",1
Tropical bees may have several generations in a year and no resting diapause stage.,1
"The egg is generally oblong, slightly curved and tapering at one end.",1
"Solitary bees, lay each egg in a separate cell with a supply of mixed pollen and nectar next to it.",1
This may be rolled into a pellet or placed in a pile and is known as mass provisioning.,1
"Social bee species provision progressively, that is, they feed the larva regularly while it grows.",1
"The nest varies from a hole in the ground or in wood, in solitary bees, to a substantial structure with wax combs in bumblebees and honey bees.",1
"In most species, bee larvae are whitish grubs, roughly oval and bluntly-pointed at both ends.",1
They have 15 segments and spiracles in each segment for breathing.,1
"They have no legs but move within the cell, helped by tubercles on their sides.",1
"They have short horns on the head, jaws for chewing food and an appendage on either side of the mouth tipped with a bristle.",1
There is a gland under the mouth that secretes a viscous liquid which solidifies into the silk they use to produce a cocoon.,1
The cocoon is semi-transparent and the pupa can be seen through it.,0
"Over the course of a few days, the larva undergoes metamorphosis into a winged adult.",1
"When ready to emerge, the adult splits its skin dorsally and climbs out of the exuviae and breaks out of the cell.",1
"Nest of common carder bumblebee, wax canopy removed to show winged workers and pupae in irregularly placed wax cells Nest of common carder bumblebee, wax canopy removed to show winged workers and pupae in irregularly placed wax cells Carpenter bee nests in a cedar wood beam (sawn open) Carpenter bee nests in a cedar wood beam (sawn open) Honeybees on brood comb with eggs and larvae in cells Honeybees on brood comb with eggs and larvae in cells Flight Further information: Insect flight In the 1930s, calculations based on the aerodynamics of fixed wings appeared to show that insect flight was impossible, with results taken from equations meant for aircraft to wings that beat rapidly through short arcs.",1
"The author of the study remarked that ""one should not be surprised that the results of the calculations do not square with reality,"" but this comment was later taken out of context and gave rise to the myth that ""the bumblebee should not be able to fly.""",1
"In fact, those early models were never suited to describe how insects fly.",1
Studies later showed that bees and many other insects produce lift through swirling vortices that form along the leading edge of the wing.,1
"High-speed imaging and robotic wing experiments confirmed that lift in bees results from rapid wing reversals and high wing-beat frequency, which together sustain the airflow needed to stay in the air.",1
Honeybee in flight carrying pollen in pollen basket Honeybee in flight carrying pollen in pollen basket Honey bee on Geranium (cultivar Rozanne) and flying.,1
"Navigation, communication, and finding food Karl von Frisch (1953) discovered that honey bee workers can navigate, indicating the range and direction to food to other workers with a waggle dance.",1
"Further information: Animal navigation and Waggle dance The ethologist Karl von Frisch showed that honey bees communicate by the waggle dance, a pattern of movement that informs other workers about the direction and distance to food.",1
He showed that honey bees use the sun as their main compass but can still locate its position on cloudy days by reading the polarization pattern of skylight.,1
"They use spatial memory with a ""rich, map-like organization"".",1
"Digestion The gut of bees is relatively simple, but multiple metabolic strategies exist in the gut microbiota.",1
"Pollinating bees consume nectar and pollen, which require different digestion strategies by somewhat specialized bacteria.",1
"While nectar is a liquid of mostly monosaccharide sugars and so easily absorbed, pollen contains complex polysaccharides: branching pectin and hemicellulose.",1
Approximately five groups of bacteria are involved in digestion.,1
"Three groups specialize in simple sugars (Snodgrassella and two groups of Lactobacillus), and two other groups in complex sugars (Gilliamella and Bifidobacterium).",1
Digestion of pectin and hemicellulose is dominated by bacterial clades Gilliamella and Bifidobacterium respectively.,1
"Bacteria that cannot digest polysaccharides obtain enzymes from their neighbors, and bacteria that lack certain amino acids do the same, creating multiple ecological niches.",1
"Although most bee species eat nectar and pollen, some do not.",1
"The vulture bees in the genus Trigona, consume carrion and the immature stages of wasps, turning meat into a honey-like substance.",1
Bees drink guttation drops from leaves for energy and nutrients.,1
